ethnicity,ethnicity1,ethnicity2,
Fourth Generation Canadian,6,6,
french,1,1,
French Ukrainian,1,1,
French-Canadian,1,1,
from guyana,3,3,
German Canadian,1,1,
German-Canadian,1,1,
"German, Hungarian",1,1,
Greek-Canadian,1,1,
GREEK-CANADIAN,1,1,
guyanaese,3,3,
guyanese,3,3,
Guyanese,3,3,
hgghj,,,
Hindu,4,10,
Homo sapien sapien,,,
Human,,,
HUMAN,,,
Hungarian ,1,1,
hungarian-french canadian,1,1,
i am Canadian...with a variety of ethnicities,1,1,
I suppose im Caucasian.,1,1,
European,1,1,
Im,,,
independent,,,
INDIAN,4,10,
Indian & Carribbean - West Indian,3,3,
Indian-South Asian,4,10,
Indigenous,2,2,
irish & scotch,1,1,
IRISH AND FRENCH,1,1,
"Irish, English, Australian",1,1,
"irish, scottish canadian",1,1,
Itaian,1,1,
Italian Russian ukranian,1,1,
ITALIEN,1,1,
JAPANESE,4,4,
Jhgb,,,
jhkkj,,,
Korean,4,4,
latin,5,5,
LATIN,5,5,
latin american,5,5,
Latin american,5,5,
Latin American,5,5,
latina,5,5,
Latina,5,5,
latin american,5,5,
Latino,5,5,
LATINO,5,5,
latvian,1,1,
Lebanese,7,7,
Lithuanian,1,1,
m,,,
macedonian,1,1,
MALAYSIAN,4,4,
manx,1,1,
metis,2,2,
Metis / Canadian,2,2,
middle eastern,7,7,
Middle eastern,7,7,
Middle Europe,1,1,
Mine,,,
Mix of Chinese and greek,9,9,
"Mixed: half white, half East Indian",9,9,
Multiracial,9,9,
n/a,,,
N/A,,,
Native,2,2,
Native American,2,2,
Native Canadian,2,2,
Negro,3,3,
newfie,1,1,
Newfoundlander,1,1,
no,,,
none of your businee,,,
North african,3,3,
Not,,,
Nothing,,,
Ojibwe,2,2,
ok,,,
Other,,,
PAKISTANI,4,10,
Pale,1,1,
phillipino,4,4,
Poland,1,1,
POLISH,1,1,
Portugal,1,1,
Portugesee,1,1,
Prefer Not to Answer,,,
Prefer not to say,,,
prodestant,,,
Pure Canadian,6,6,
RATHER NOT SAY,,,
Russian/Canadian,1,1,
sapien,,,
Scandinavian,1,1,
scotch,1,1,
scotish,1,1,
Scotish,1,1,
scottish,1,1,
Scottish and Dutch,1,1,
Scottish and French Canadian,1,1,
"Scottish, English, Ukrainian",1,1,
Sikh,4,10,
"sorry, I don't play that Identity politics nonsense",,,
south asian,4,10,
South East Asian,4,4,
Southeast asian,4,4,
southern european,1,1,
Spanish/Chinese,9,9,
Sri lanka,4,10,
Sri lankan,4,10,
SRILANKA,4,10,
Srilankan,4,10,
SUTH ASIAN,4,10,
tamil,4,10,
To honest idk,,,
Turk,1,1,
UK,1,1,
UKRAINIAN,1,1,
vietnamese,4,4,
Vietnamese,4,4,
Wasp,1,1,
WASP,1,1,
Wbite,1,1,
west indian,3,3,
"western europe, dutch",1,1,
whaite,1,1,
Whit,1,1,
WHite,1,1,
White - Canadian,1,1,
White (Italian/Canadian/American),1,1,
white american,1,1,
White Anglo Saxon   With Frank components,1,1,
White Anglo-Saxon Protestant,1,1,
white born canadian male the minority,1,1,
white Canadian,1,1,
White Catholic,1,1,
White caucasian,1,1,
White English Canadian and French Canadian,1,1,
White from Western Europe (France),1,1,
White power,1,1,
"white, Canadian",1,1,
"White, Canadian",1,1,
"White, caucasian",1,1,
White/ Canadian,1,1,
White/ Caucasian,1,1,
White/European/First Nations,1,1,
Whitey,1,1,
whitw,1,1,
Windsor,,,
Witw,1,1,
XXXXXXX,,,
ya,,,
Zoroastrian,4,10,
