id,indivfinfeel,immfeel
174,It's pretty tight with expenses being so expensive,I feel like it is too much. We have our own people to take care of first instead of these newcomers
175,Harder to save money than previous years,Could strength our boarders a little bit but overall it is good.
176,"I feel like I am 1 paycheck away from being homeless, too much money is being given out for child tax credit",They spend more money on immigrants than our own people.
177,,
178,no comment,no comment
179,could always use a raise,everyone deserves a chance to live freely
180,Wish I was making more money,keep helping refugees
181,Good,Need more waps
182,,
183,,
184,,
185,,
186,"Thankful that I qualified for cppd, but wish it was at a higher rate.","Doing a good job.

Hoping they are screening people with criminal records."
187,Bleak,It needs to stop
188,it is doing pretty well,I love how it is now
189,Bleak. Hopeless. Hard to manage.,Relatively indifferent. Happy that people have a friendly place to go.
190,,
191,"I am retired and my husband has no income as he was on ODSP and when I retired they cut his benefits. So we live on my OAS, GIS, CPP & a small annuity. Makes it difficult at times to get by.",I feel that we are letting too many illegal immigrants into this country. People who are trying to legally enter Canada have a hard time.
192,I am scraping by,I believe we should have less
193,,
194,I am a great saver and investor,helps Canada become more multicultural
195,It is bad due to other circumstances like divorce.,Canada takes in too many immigrants for the economy to support. It is becoming a burden to normal tax payers.
196,"Living paycheque to paycheque. Trying to make ends meet every month. I think the government should make a policy about all insurance, that we get at least 50% of what we paid for every year if we do not make any claims.. Our insurance system here in Canada is like a government-backed scam. We pay every month to make someone else rich. And if try and make a claim, we have to deal with DEDUCTIBLES.. it's hard enough that we earn minimum wage, yet we pay more if not the same with the rich. No offense to them but, I don't think they know what it's like to live paycheque to paycheque ..","Biased. We have immigrants who have issues or problems with their documents but officials don't offer any solution but deportation. I understand sometimes there are some MISREPRESENTATION of what is true supposedly in immigrant papers but the government 's only answer is deportation. I haven't heard of any programs to help or somehow correct what's wrong in immigrant's documents. Immigrants, including myself, work hard and gets taxed to the maximum by the government. Shouldn't we somehow get some help from the government regarding our documents without ever having to face deportation? There are so many others out there who's done so many bad things or crimes yet, they didn't get deported but are entitled to lawyers who defend them in court. They have lots of money I suppose. But I think we deserve some help from the government too, so we all could come forward and not hide and be proud that we're Canadians or permanent residents being helped by OUR government. And not only the refugees"
197,"Had a client pass away last December, so my financial income was slashed by 3/4. Had to go on Social Assistance to help out till I'm old enough to get my pension.",The universe has always been based on immigration. That means diversity. I'm for diversity.
198,My personal financial situation remains the same,Immigration is important to Canada
199,could be better,too much
200,It is currently stable but health care costs will increase significantly as I grow older.,We need immigration in order to grow as a nation. But we need the right checks and balances in place to avoid overcrowding large urban centres.
201,I'm on a tight budget and small changes in bills really affect me.,"I think immigration is a great thing! It's part of our Canadian identity. However if you immigrate to Canada, you should conform to our values of equality and women's rights."
202,I work two pat time jobs to make ends meet.,They should have to follow the same rules as us without having to impose laws to benefit their own culture
203,will survive,too many Asians
204,,
205,Feel ok about it but we made the decision to be a one income family and have one person stay home with our children.,I generally agree with it but there needs to be clear limits.
206,Not very stable,Too many immigrants
207,My finances are fine but always be better,Could handle a little better
208,,
209,Luckily I have a very good job and can afford to pay my bills and live,Immigration the way it used to be when our forefathers immigrated is the proper way it should be done and enforced. Line jumpers and criminals need to be sent back immediately regardless of the consequences they face in their own country
210,"Not great, and it's a cause for stress.","I don't really know -- haven't really thought about it. I do know it doesn't really bother me, though I do have concerns about the job situation, because there are already thousands of Canadian citizens that need jobs, and it's worsened by companies adding to it by hiring off-shore instead of in-country."
211,"It isn't improving,  so over time I am going to fall further and further behind...and will eventually be screwed.","Not really an issue.   Those that complain are threatened.  how  are they threatened? are they unemployed, feel unsafe, etc.  Those are the issues, the immigrants look like an easy excuse rather than getting help for the real problem."
212,Getting by but could be better.,Necessary
213,Fine,Got personally screwed over by immigration Canada immigrating my spouse from USA. Come from anywhere but north America and it's all handed to you. Come from North America and it's nothing but a struggle
214,Just in between jobs at the moment,The government does more for immigrants and refugees than they do for indigenous communities which isn't fair one damn bit
215,Great,Great I am satisfied I think they bring a lot of great talent
216,I have to bust my hump to support my family. The struggle is real,"Not to sound rude but the white people have become the minority. I was born in Niagara, raised to believe in equality and was proud to be part of a diverse community, but some years later I'm beginning to feel out of place and made to feel u comfortable celebrating my own traditions and beliefs. My family's accepting of everyone's beliefs but it doesn't seem the same in return. When Canadian traditions begin disappearing from schools and most public places, everything Canada has stood for begins to crumble. What people came to Canada to be a part of is taken away little by little until what foundation is left?"
217,"As a small business owner, stressed",If they come here to work and make something of themselves then fine. But if they are here just for the handouts. Get out!
218,No comment,No comment
219,I feel disappointed in finding a good career.,It's okay we just also have to care about Canadians that were born here.
220,Same as last year,If is good
221,,
222,I don't like it.,"Immigration is a good thing, except when we pay to house those who cross the border illegally."
223,,
224,,
225,"Could always be better, but can't complain... yet.",You want to live here... follow our rules.
226,That's is subject this doc eek loves jerk jack of,Inch DC week is well ox cut this eh obfuscated
227,I'm coping but would like to be more financially comfortable,Immigration is positive for Canada
228,I'm struggling a bit after a few month without employment but I am slowly getting back on track.,I think we are not careful enough about who we allow into the country.  We need to stop reintegrating terrorists and start looking for the best of the people looking to immigrate.
229,"My income is ok, it's the cost of rent and how can I pay 15000 a year in rent and save for a house. It's a joke. Will never happen. Rent is more then 30% of most incomes.",I think it takes away from the people here. I'm on a wait list for housing but yet new to Canada took priority over me who's been waiting 8 years
230,,
231,I'm getting by but it would help if I got taxed less or thing cost less,
232,Stable,Good for the country
233,,
234,taxed to death,send them home
235,Precarious tax a lot need more help,I think we need to take care of our own first and foremost
236,I feel like minimum wage could be higher,I feel like Canada is the best place to be for immigrants there's a lot to offer here immigration has improve a lot
237,Working too hard for and seeing very little  benefit,"If handled with due diligence, it can be a positive thing."
238,Just getting by,"Immigration to Canada is good, they help the immigrants very well but I hope they don't abuse it."
239,I feel like the jobs that are available to me in my area don't match up with the cost or living or give me the possibility of being truly independent from others,Immigration is fine as long as those who come here are qualified and are able to stand on their own two feet and not abuse any government assistant and robbing that access to those who truly need it.
240,,
241,AM SATISFIED WITH STAYING WITHIN BUDGET,MORE VETTING NEEDS TO BE DONE FIRST
242,,
243,bad,ok
244,it is ok,it is ok
245,recently unemployed with no prospects,we need it but let bring in skills we need
246,Very bad,Not bad
247,retired and getting a monthly pension,Opportunities exists for everyone
248,Getting along,Ok
249,Terrible ...the govt takes and gives to all the refugees,It's terrible
250,Good,Good
251,getting by day by day,open and inclusive
252,I'd be fine if I wasn't paying so much in taxes to support useless government initiatives.,"Immigration is what the country was built on.  But people should have to go through strict protocols and not just be allowed into Canada just because.



They should also not be allowed to locate in major cities that already are taxed in terms of infrastructure."
253,concerned,it is great if managed well
254,its really good,"I absolutely hate it, it needs to be reformed asap or Canadian culture and its people will cease to exist"
255,I could do better,Let  proper  immigrants  move  here
256,somewhat comfortable,"somewhat positive, there is always a few that are not representative of the majority that give an unfair image of the group"
257,,
258,growing worse,good for all
259,coping,too many for the sake of votes
260,Just getting by,Don't know
261,"Will worsen as each year passes because living expenses overall are to high. using retirement funds to keep afloat but will run out at some point shortly. Stretching as much as possible & doing without. 75% of earnings goes towards expenses and the rest is left for us, which isn't much!!",They seem to get more support than people who were born in Canada. Charity begins at home if any extra then we can help
262,Living paycheck to paycheck,Healthy for our country
263,WE PREPARED WELL FOR RETIREMENT BY CONSTANT RESPONSIBILITY AND FRUGALITY AND CONSEQUENTLY HAVE NO PROBLEMS.,LEGAL IMMIGRATION OF INDEPENDENT IMMIGRANTS IS GREAT. THEY AND THE COUNTRY BENEFIT BY WELL MATCHED BENEFITS. I KNOW OF ONE YOUNG WOMAN WHO FOUND A GOOD JOB AFTER A COUPLE OF DAYS! BUT CHAIN MIGRATION AND ILLEGAL ALIENS COST MONEY FOR THE DILIGENT. BOTH MUST BE STOPPED NOW.
264,very nervous. No savings,Should be screened and reversed if they are found to not be contributing.
265,,
266,Need lower taxes,Too many coming to Canada from United States illegally through Quebec
267,okay,too much in a specific areas
268,trying to keep up  but bills and taxes go up much faster,too many let in in a short time
269,OK,too much of it in non-qualified people we need and we spend more money on them than on the people who have helped built this country
270,I am not very happy about it,I am not very happy about some of the policies
271,currently satisfied but concerned for future,Canada needs LEGAL immigration to maintain the economy. Illegal immigrants must be removed quickly.
272,stayed about the same,should be more open and tolerant
273,No issues,No comments..
274,,
275,,
276,comfortable pension income 75 K,All Canadians except indigenous people are or were immigrants
277,SAME AS BEFORE,
278,,
279,It is slowly getting better,We need tradesmen and doctors and immigration can fill those empty spots
280,It's mediocre,Too many people by-pass the system and sneak in 'illegally'
281,I am being taxed to death and can barely make basic financial commitments,those who immigrate to Canada should only be accepted if they have skills we need or are in fields that we are deficient in.
282,just OK,I agree with all policies.
283,challenging but fun,welcome aboard
284,no extra money to save,no idea
285,Retired on a very limited budget but we manage. You n=must use flyers and plan and buy most things on sale.,"Immigration is what built Canada, in these difficult times one does have to rake extra care however hard it is to ""try"" and filter out radicals."
286,"Comfortable, but not sure what will happen over the next few years.",Legal immigration is good for Canada.
287,it stinks,
288,Satisfied,Out of control
289,"ok, could be better",I like  that we are such a mix.
290,"wages have increased slightly, yet costs have increased, so my financial situation is still pay to pay living","immigration of qualified people, who can fill gaps is great.  There needs to be more control on refugee just walking into the country"
291,"Stable for the moment, but with carbon tax, etc., it will deteriorate over the next months.","If it's legal, fine, but border jumping is not right and should be stopped,"
292,Try to start business with help from banks and other source,"It is good idea for a great Canada lands , 

But the process for refugees should stops and immigration process should run faster than this. 

For families which are success in Canada , should immigrants easier than others, like brothers and sister who can help the Canadian citizen to do better in Canada"
293,OW is slow death,As long as they pay their way
294,I am retired and living on a tight budget,very satisfied
295,feeling ok but worried about 6 years down the road when my wife retires. will be a lot less income,"should be more controlled at the borders, all crossing should be official entry points, no line jumping."
296,,
297,it is nearly not enough on odsp,they let way too many in
298,ok,It is necessary. But should be controlled. People should be vetted to make sure they are what and who they say they are.
299,coping but not living above my means,we need it as do many other countries
300,About the same as last year but can see it going down in the future,To many people from one area of the world being allowed in as refugees
301,Good,Ok
302,,
303,,
304,ask me about my insane car insurance,it has gotten out of control - open the doors and let everyone in
305,Decent,
306,,
307,getting by but worried about taxes and inflation making things more difficult,its a good thing and should be kept up but we do need to be more cautious with who and how we let people in
308,It look positive right now unless Ford gets in and starts giving breaks to the rich,"overall it is a good thing, who wants to act like the US"
309,not good.,It is good impact for Canada.
310,Comfortable but there is room for improvement,More the merrier
311,It has nothing to do with the government,Non issue
312,"it is still ok, but vulnerable","I think we shouldn't massively accept refugees. People deserve to live in safer place, but currently it looks out of control"
313,Too many debts and not enough programs to help us out without affecting credit,
314,"it's getting worse, much worse",its appropriate given our aging population
315,Feel like I'm living month to month and just barely making it.,nothing
316,,
317,it gets worse as I get older,"there is already too few jobs, getting worse, and house prices in Toronto, as an example, are impossible to ever afford for most of us."
318,It must improve soon.,
319,FINE,GOOD
320,income is okay but everything is costing more and more while my income remains the same,some when done legally is ok. others entering illegally is hurting everyone
321,Broke,Very good
322,Not to confident.,There are to many immigrants in Canada
323,Not sure,Not sure
324,"Lotto 649, just imagine?",Way too much. were too generous
325,"feel bad cannot afford nutritious food, or internet etc.",it's a great idea
326,Terrible. I was laid off 2 years ago and now I make minimum wage and only seasonal work.,I really have no opinion
327,,
328,not good at all,immigrants built this country as long as it is done right it should be a benefit
329,"Its fine, but would like more for when retirement comes!",
330,should be better,should be tightened up
331,survivable,no comment
332,"Unemployed, unable to find a job",It's good but sometimes we Canadians act as Americans towards immigrants
333,its tough.  I worry about the future,we are all immigrants of sorts.  people build an economy and a country
334,Good could be better if taxes lower,Freely coming across border is getting out of hand
335,"I don't understand why I'm not in better shape, financially. I make decent money bout only seem to be breaking even.","Normally, immigration leads to an expansion of the economy (and certainly to the social fabric of Canada).  But because government has taken over so many aspects of the economy, expansion doesn't happen naturally."
336,On disability and if I didn't do online surveys/watch videos and so on for extra money I wouldn't make it,I feel the more refugees we take in the fewer immigrants should be allowed over.
337,Good. No debt. Sufficient income,No more illegal immigration. Send them back from whence they came. The US is not at war...they are not in danger.
338,Poor living day to day,"Streamline the process but be better at vetting. 



Be more selective"
339,bad,so-so
340,,
341,,
342,gest worse every year as cost of living gets higher every year. no relief in sight. politicians don't seem to have a grasp of what it's like for low mid income Canadians,should not be increased. should not have free medical benefits when entering the country unless they become employed in a certain time period.
343,"I'm just fine. The rich earn way too much, contributing too little.","We need immigrants. We don't fuck enough to keep maintain the current population, thus current level of GDP."
344,It's enough to get by on and that's about it.,"Too many rights and laws are being shoved down our throats and really interferes with my idea of what a democracy really is. Canada gives too much and that's not right, fair, or democratic."
345,"Not bad, get by OK","Canada has no borders at present. So, we are really not a country. We are a global position. Muslims will never assimilate. Canada should help the Roingans and white South Africans farmers off their lands."
346,"If it increases, that would be ok



. If it decreases, that would not be appreciated",Should be decreased a considerable amount
347,I need say 500 more a month to run a car but all the rest that we need is covered quite well.,too many coming in now who are criminals.
348,PAY CHEQUE TO PAY CHEQUE EXISTENCE,CANADA IS A BIG COUNTRY AND NEEDS MORE IMMIGRANTS BUT SHOULD FORCED TO LIVE IN AREAS OUTSIDE OF THE BIG CITIES THAT NEEDS PEOPLE
349,Poor,Way too many refugees. Trudeau is such a potato.
350,,
351,,it's a better place to live
352,It could be better.,it is a good idea.
353,,
354,,
355,Very comfortable,Necessary and beneficial
356,"Not too bad. Some of my income is stagnant, some has dropped, and some increased.",Need proper screening to ensure that refugees don't bring their intolerance into Canada and they are not only economic refugees.
357,things can be very difficult at times,our doors are too open and immigrants are aware of Canada overly generous system
358,Adequate,"Good everyone need a safe place to



 call home."
359,Living comfortably and have some money saving each month,Good way to get people with different culture
360,On the verge of bankruptcy. I can't afford to live day to day,Immigration strengthens Canada as a whole. It's what this country was built on and is a reason why we're one of the most respected countries in the world.
361,"Awful, living from pay to pay",no comment
362,We're getting by,Canada has a proud history of making immigrants welcome and allowing them to contribute
363,IT SUCKS,LEGAL IMMIGRATION IS OK BUT SHOULD NOT RECEIVE GOVERNMENT FUNDS ILLEGAL IMMIGRATION IS AGAINST THE LAW AND THEY SHOULD BE BARRED FROM EVER ENTERING CANADA AGAIN. WE DON'T NEED CRIMINALS IN CANADA
364,,
365,the best,
366,ok,good
367,Currently living on ODSP and it is impossible to support your self independently on 1000 a month,"I absolutely can not stand it. We are losing our culture and nationality, it doesn't mean anything to be a Canadian now a days."
368,one more tax hike away from not being able to eat or being put on the street,it is a joke at the present moment and should be suspended
369,"Getting by, but having more money left over at the end of the month would be good.","It's an absolute joke to let thousands of ""refugees"" into this province (and country) without proper vetting. And they absolutely should not be receiving any type of benefits, health, medical, housing until they become citizens who can support themselves!"
370,Have been cutting back as much as possible just to be able to get food and meds,"Europeans built much of this country

. Korean immigrants had a positive impact 

Vietnamese immigrants also had a positive impact

. We shouldn't be complaining"
371,"as a senior with an extra(small) pension from the UK I can just cover my rent, but as my rent increases $30+ a month each year and my Can, pension increase is less than $4 there is little or no hope for the future, and the fact that I am on a 10 year waiting list for senior accommodation doesn't help",Legal immigration is good and much needed for Canada to thrive (I am immigrant)but the welfare immigrants are draining the country and holding up the influx of the genuine
372,stressed...no income to save,"As long as we have some checks and don't allow everyone in, I think immigration is great...this country benefits from being multicultural!"
373,"Just barely getting by

My income has not changed yet costs are escalating due to too high taxes at purchase like gas for my car..... most of the high cost is in taxes added to the actual price of gas ....something like 46 cents or more per litre in taxes","Immigrants from Muslin countries should be reduced. 

We should not change our ways to suit them. THEY SHOULD IMMERSE THEMSELVES INTO OUR SOCIETY.

Canada was chosen because of our way of life and yet when they get here they want us to be like the situation they ran away from.

Our law makers need to reverse all the changes to make Canada as it was... FREEDOM TO PRAY AND WORSHIP AS Canada is based on Judo-Christian roots"
374,Needs to get better,Welcome them as long as they can work
375,Struggling,Everyone here is an immigrant of some sort so of course it's a good thing
376,struggling,not sure
377,just getting by and now saving very much,I think that immigration in general is good for Canada but there has to be some restrictions imposed
378,Good,Positive
379,Not good,Somewhat important
380,"I am currently on disability and just filed  my retirement papers, so a fixed income with higher taxes and prices on everything.","a well managed system needs to be implemented, not this sanctuary nonsense"
381,AVERAGE,"WE NEED MORE PEOPLE HERE TO BOOST ECONOMY, CANADA IS FALLING BEHIND"
382,Manageable Canadian life is full of opportunity,
383,It is possible to,It is useful tradition for Canada
384,comfortable,very mixed
385,Terrible. Living hand to mouth each day.,garbage.
386,,
387,,
388,my personal situation is terrible because of 'housing' AND THE AFFORDABILITY OF IT,it has been too much in the past few years
389,"very hard to survive in Ontario, do not see much in a future","need better rules and enforced control, too many refugees or those claiming it and no way to check if it is real"
390,"Better, showing improvements.","It is necessary, and good for the sustainability of the country. Some changes need to be made."
391,It's fair - could be better.,It's fine if they legally do it and have a positive impact on the economy.
392,,
393,Has to get better,We have hard enough time supporting our own people.
394,sad desperate,open for most who deserve
395,Good,Not good
396,Could be better,"Immigration should be a fair system. Unfortunately, the Canadian government is favouring people that are paying for citizenship. This is well-known. People from Eastern European are at a disadvantage because they must compete with money from Asian countries. The Canadian government only cares about who can pay their way into Canada."
397,Could be better,if they cannot properly screen people they should not be let in
398,very bad,very bad
399,Good,Increases jobs
400,IT STINKS,NOT
401,ok,ok
402,For sure a bit help about monthly income is always very welcome but a fair and equal split is a need in some category of our society...,This morning I heard on TV that a number of Israelis persons are in Canada since six years: they followed what been asked from Canadian government as learning the French language and other as; paperwork done to qualified fast for a job in their own field... Wow!!! And they had no or about no news from the Immigration ... Now tell me if we would need to do a SERIOUS PLATFORM OF OUR IMMIGRATION PROGRAM...
403,hjhjhgjh,hghghg
