"","X","word","sentiment"
"73",73,"absurdity","negative"
"74",74,"abundance","anticipation"
"75",75,"abundance","disgust"
"76",76,"abundance","joy"
"77",77,"abundance","negative"
"78",78,"abundance","positive"
"79",79,"abundance","trust"
"80",80,"abundant","joy"
"81",81,"abundant","positive"
"82",82,"abuse","anger"
"83",83,"abuse","disgust"
"84",84,"abuse","fear"
"85",85,"abuse","negative"
"86",86,"abuse","sadness"
"87",87,"abysmal","negative"
"88",88,"abysmal","sadness"
"89",89,"abyss","fear"
"90",90,"abyss","negative"
"91",91,"abyss","sadness"
"92",92,"academic","positive"
"93",93,"academic","trust"
"94",94,"academy","positive"
"95",95,"accelerate","anticipation"
"96",96,"acceptable","positive"
"97",97,"acceptance","positive"
"98",98,"accessible","positive"
"99",99,"accident","fear"
"100",100,"accident","negative"
"101",101,"accident","sadness"
"102",102,"accident","surprise"
"103",103,"accidental","fear"
"104",104,"accidental","negative"
"105",105,"accidental","surprise"
"106",106,"accidentally","surprise"
"107",107,"accolade","anticipation"
"108",108,"accolade","joy"
"109",109,"accolade","positive"
"110",110,"accolade","surprise"
"111",111,"accolade","trust"
"112",112,"accommodation","positive"
"113",113,"accompaniment","anticipation"
"114",114,"accompaniment","joy"
"115",115,"accompaniment","positive"
"116",116,"accompaniment","trust"
"117",117,"accomplish","joy"
"118",118,"accomplish","positive"
"119",119,"accomplished","joy"
"120",120,"accomplished","positive"
"121",121,"accomplishment","positive"
"122",122,"accord","positive"
"123",123,"accord","trust"
"124",124,"account","trust"
"125",125,"accountability","positive"
"126",126,"accountability","trust"
"127",127,"accountable","positive"
"128",128,"accountable","trust"
"129",129,"accountant","trust"
"130",130,"accounts","trust"
"131",131,"accredited","positive"
"132",132,"accredited","trust"
"133",133,"accueil","positive"
"134",134,"accurate","positive"
"135",135,"accurate","trust"
"136",136,"accursed","anger"
"137",137,"accursed","fear"
"138",138,"accursed","negative"
"139",139,"accursed","sadness"
"140",140,"accusation","anger"
"141",141,"accusation","disgust"
"142",142,"accusation","negative"
"143",143,"accusative","negative"
"144",144,"accused","anger"
"145",145,"accused","fear"
"146",146,"accused","negative"
"147",147,"accuser","anger"
"148",148,"accuser","fear"
"149",149,"accuser","negative"
"150",150,"accusing","anger"
"151",151,"accusing","fear"
"152",152,"accusing","negative"
"153",153,"ace","positive"
"154",154,"ache","negative"
"155",155,"ache","sadness"
"156",156,"achieve","joy"
"157",157,"achieve","positive"
"158",158,"achieve","trust"
"159",159,"achievement","anticipation"
"160",160,"achievement","joy"
"161",161,"achievement","positive"
"162",162,"achievement","trust"
"163",163,"aching","negative"
"164",164,"aching","sadness"
"165",165,"acid","negative"
"166",166,"acknowledgment","positive"
"167",167,"acquire","positive"
"168",168,"acquiring","anticipation"
"169",169,"acquiring","positive"
"170",170,"acrobat","fear"
"171",171,"acrobat","joy"
"172",172,"acrobat","positive"
"173",173,"acrobat","trust"
"174",174,"action","positive"
"175",175,"actionable","anger"
"176",176,"actionable","disgust"
"177",177,"actionable","negative"
"178",178,"actual","positive"
"179",179,"acuity","positive"
"180",180,"acumen","positive"
"181",181,"adapt","positive"
"182",182,"adaptable","positive"
"183",183,"adder","anger"
"184",184,"adder","disgust"
"185",185,"adder","fear"
"186",186,"adder","negative"
"187",187,"adder","sadness"
"188",188,"addiction","negative"
"189",189,"addresses","anticipation"
"190",190,"addresses","positive"
"191",191,"adept","positive"
"192",192,"adequacy","positive"
"193",193,"adhering","trust"
"194",194,"adipose","negative"
"195",195,"adjudicate","fear"
"196",196,"adjudicate","negative"
"197",197,"adjunct","positive"
"198",198,"administrative","trust"
"199",199,"admirable","joy"
"200",200,"admirable","positive"
"201",201,"admirable","trust"
"202",202,"admiral","positive"
"203",203,"admiral","trust"
"204",204,"admiration","joy"
"205",205,"admiration","positive"
"206",206,"admiration","trust"
"207",207,"admire","positive"
"208",208,"admire","trust"
"209",209,"admirer","positive"
"210",210,"admissible","positive"
"211",211,"admissible","trust"
"212",212,"admonition","fear"
"213",213,"admonition","negative"
"214",214,"adorable","joy"
"215",215,"adorable","positive"
"216",216,"adoration","joy"
"217",217,"adoration","positive"
"218",218,"adoration","trust"
"219",219,"adore","anticipation"
"220",220,"adore","joy"
"221",221,"adore","positive"
"222",222,"adore","trust"
"223",223,"adrift","anticipation"
"224",224,"adrift","fear"
"225",225,"adrift","negative"
"226",226,"adrift","sadness"
"227",227,"adulterated","negative"
"228",228,"adultery","disgust"
"229",229,"adultery","negative"
"230",230,"adultery","sadness"
"231",231,"advance","anticipation"
"232",232,"advance","fear"
"233",233,"advance","joy"
"234",234,"advance","positive"
"235",235,"advance","surprise"
"236",236,"advanced","positive"
"237",237,"advancement","positive"
"238",238,"advantage","positive"
"239",239,"advantageous","positive"
"240",240,"advent","anticipation"
"241",241,"advent","joy"
"242",242,"advent","positive"
"243",243,"advent","trust"
"244",244,"adventure","anticipation"
"245",245,"adventure","positive"
"246",246,"adventurous","positive"
"247",247,"adversary","anger"
"248",248,"adversary","negative"
"249",249,"adverse","anger"
"250",250,"adverse","disgust"
"251",251,"adverse","fear"
"252",252,"adverse","negative"
"253",253,"adverse","sadness"
"254",254,"adversity","anger"
"255",255,"adversity","fear"
"256",256,"adversity","negative"
"257",257,"adversity","sadness"
"258",258,"advice","trust"
"259",259,"advisable","positive"
"260",260,"advisable","trust"
"261",261,"advise","positive"
"262",262,"advise","trust"
"263",263,"advised","trust"
"264",264,"adviser","positive"
"265",265,"adviser","trust"
"266",266,"advocacy","anger"
"267",267,"advocacy","anticipation"
"268",268,"advocacy","joy"
"269",269,"advocacy","positive"
"270",270,"advocacy","trust"
"271",271,"advocate","trust"
"272",272,"aesthetic","positive"
"273",273,"aesthetics","joy"
"274",274,"aesthetics","positive"
"275",275,"affable","positive"
"276",276,"affection","joy"
"277",277,"affection","positive"
"278",278,"affection","trust"
"279",279,"affiliated","positive"
"280",280,"affirm","positive"
"281",281,"affirm","trust"
"282",282,"affirmation","positive"
"283",283,"affirmative","positive"
"284",284,"affirmatively","positive"
"285",285,"affirmatively","trust"
"286",286,"afflict","fear"
"287",287,"afflict","negative"
"288",288,"afflict","sadness"
"289",289,"afflicted","negative"
"290",290,"affliction","disgust"
"291",291,"affliction","fear"
"292",292,"affliction","negative"
"293",293,"affliction","sadness"
"294",294,"affluence","joy"
"295",295,"affluence","positive"
"296",296,"affluent","positive"
"297",297,"afford","positive"
"298",298,"affront","anger"
"299",299,"affront","disgust"
"300",300,"affront","fear"
"301",301,"affront","negative"
"302",302,"affront","sadness"
"303",303,"affront","surprise"
"304",304,"afraid","fear"
"305",305,"afraid","negative"
"306",306,"aftermath","anger"
"307",307,"aftermath","disgust"
"308",308,"aftermath","fear"
"309",309,"aftermath","negative"
"310",310,"aftermath","sadness"
"311",311,"aftertaste","negative"
"312",312,"aga","fear"
"313",313,"aga","positive"
"314",314,"aga","trust"
"315",315,"aggravated","anger"
"316",316,"aggravated","negative"
"317",317,"aggravating","anger"
"318",318,"aggravating","negative"
"319",319,"aggravating","sadness"
"320",320,"aggravation","anger"
"321",321,"aggravation","disgust"
"322",322,"aggravation","negative"
"323",323,"aggression","anger"
"324",324,"aggression","fear"
"325",325,"aggression","negative"
"326",326,"aggressive","anger"
"327",327,"aggressive","fear"
"328",328,"aggressive","negative"
"329",329,"aggressor","anger"
"330",330,"aggressor","fear"
"331",331,"aggressor","negative"
"332",332,"aghast","disgust"
"333",333,"aghast","fear"
"334",334,"aghast","negative"
"335",335,"aghast","surprise"
"336",336,"agile","positive"
"337",337,"agility","positive"
"338",338,"agitated","anger"
"339",339,"agitated","negative"
"340",340,"agitation","anger"
"341",341,"agitation","negative"
"342",342,"agonizing","fear"
"343",343,"agonizing","negative"
"344",344,"agony","anger"
"345",345,"agony","fear"
"346",346,"agony","negative"
"347",347,"agony","sadness"
"348",348,"agree","positive"
"349",349,"agreeable","positive"
"350",350,"agreeable","trust"
"351",351,"agreed","positive"
"352",352,"agreed","trust"
"353",353,"agreeing","positive"
"354",354,"agreeing","trust"
"355",355,"agreement","positive"
"356",356,"agreement","trust"
"357",357,"agriculture","positive"
"358",358,"aground","negative"
"359",359,"ahead","positive"
"360",360,"aid","positive"
"361",361,"aiding","positive"
"362",362,"ail","negative"
"363",363,"ail","sadness"
"364",364,"ailing","fear"
"365",365,"ailing","negative"
"366",366,"ailing","sadness"
"367",367,"aimless","negative"
"368",368,"airport","anticipation"
"369",369,"airs","disgust"
"370",370,"airs","negative"
"371",371,"akin","trust"
"372",372,"alabaster","positive"
"373",373,"alarm","fear"
"374",374,"alarm","negative"
"375",375,"alarm","surprise"
"376",376,"alarming","fear"
"377",377,"alarming","negative"
"378",378,"alarming","surprise"
"379",379,"alb","trust"
"380",380,"alcoholism","anger"
"381",381,"alcoholism","disgust"
"382",382,"alcoholism","fear"
"383",383,"alcoholism","negative"
"384",384,"alcoholism","sadness"
"385",385,"alertness","anticipation"
"386",386,"alertness","fear"
"387",387,"alertness","positive"
"388",388,"alertness","surprise"
"389",389,"alerts","anticipation"
"390",390,"alerts","fear"
"391",391,"alerts","surprise"
"392",392,"alien","disgust"
"393",393,"alien","fear"
"394",394,"alien","negative"
"395",395,"alienate","anger"
"396",396,"alienate","disgust"
"397",397,"alienate","negative"
"398",398,"alienated","negative"
"399",399,"alienated","sadness"
"400",400,"alienation","anger"
"401",401,"alienation","disgust"
"402",402,"alienation","fear"
"403",403,"alienation","negative"
"404",404,"alienation","sadness"
"405",405,"alimentation","positive"
"406",406,"alimony","negative"
"407",407,"alive","anticipation"
"408",408,"alive","joy"
"409",409,"alive","positive"
"410",410,"alive","trust"
"411",411,"allay","positive"
"412",412,"allegation","anger"
"413",413,"allegation","negative"
"414",414,"allege","negative"
"415",415,"allegiance","positive"
"416",416,"allegiance","trust"
"417",417,"allegro","positive"
"418",418,"alleviate","positive"
"419",419,"alleviation","positive"
"420",420,"alliance","trust"
"421",421,"allied","positive"
"422",422,"allied","trust"
"423",423,"allowable","positive"
"424",424,"allure","anticipation"
"425",425,"allure","joy"
"426",426,"allure","positive"
"427",427,"allure","surprise"
"428",428,"alluring","positive"
"429",429,"ally","positive"
"430",430,"ally","trust"
"431",431,"almighty","positive"
"432",432,"aloha","anticipation"
"433",433,"aloha","joy"
"434",434,"aloha","positive"
"435",435,"aloof","negative"
"436",436,"altercation","anger"
"437",437,"altercation","negative"
"438",438,"amaze","surprise"
"439",439,"amazingly","joy"
"440",440,"amazingly","positive"
"441",441,"amazingly","surprise"
"442",442,"ambassador","positive"
"443",443,"ambassador","trust"
"444",444,"ambiguous","negative"
"445",445,"ambition","anticipation"
"446",446,"ambition","joy"
"447",447,"ambition","positive"
"448",448,"ambition","trust"
"449",449,"ambulance","fear"
"450",450,"ambulance","trust"
"451",451,"ambush","anger"
"452",452,"ambush","fear"
"453",453,"ambush","negative"
"454",454,"ambush","surprise"
"455",455,"ameliorate","positive"
"456",456,"amen","joy"
"457",457,"amen","positive"
"458",458,"amen","trust"
"459",459,"amenable","positive"
"460",460,"amend","positive"
"461",461,"amends","positive"
"462",462,"amenity","positive"
"463",463,"amiable","positive"
"464",464,"amicable","joy"
"465",465,"amicable","positive"
"466",466,"ammonia","disgust"
"467",467,"amnesia","negative"
"468",468,"amnesty","joy"
"469",469,"amnesty","positive"
"470",470,"amortization","trust"
"471",471,"amour","anticipation"
"472",472,"amour","joy"
"473",473,"amour","positive"
"474",474,"amour","trust"
"475",475,"amphetamines","disgust"
"476",476,"amphetamines","negative"
"477",477,"amuse","joy"
"478",478,"amuse","positive"
"479",479,"amused","joy"
"480",480,"amused","positive"
"481",481,"amusement","joy"
"482",482,"amusement","positive"
"483",483,"amusing","joy"
"484",484,"amusing","positive"
"485",485,"anaconda","disgust"
"486",486,"anaconda","fear"
"487",487,"anaconda","negative"
"488",488,"anal","negative"
"489",489,"analyst","anticipation"
"490",490,"analyst","positive"
"491",491,"analyst","trust"
"492",492,"anarchism","anger"
"493",493,"anarchism","fear"
"494",494,"anarchism","negative"
"495",495,"anarchist","anger"
"496",496,"anarchist","fear"
"497",497,"anarchist","negative"
"498",498,"anarchy","anger"
"499",499,"anarchy","fear"
"500",500,"anarchy","negative"
"501",501,"anathema","anger"
"502",502,"anathema","disgust"
"503",503,"anathema","fear"
"504",504,"anathema","negative"
"505",505,"anathema","sadness"
"506",506,"ancestral","trust"
"507",507,"anchor","positive"
"508",508,"anchorage","positive"
"509",509,"anchorage","sadness"
"510",510,"ancient","negative"
"511",511,"angel","anticipation"
"512",512,"angel","joy"
"513",513,"angel","positive"
"514",514,"angel","surprise"
"515",515,"angel","trust"
"516",516,"angelic","joy"
"517",517,"angelic","positive"
"518",518,"angelic","trust"
"519",519,"anger","anger"
"520",520,"anger","negative"
"521",521,"angina","fear"
"522",522,"angina","negative"
"523",523,"angling","anticipation"
"524",524,"angling","negative"
"525",525,"angry","anger"
"526",526,"angry","disgust"
"527",527,"angry","negative"
"528",528,"anguish","anger"
"529",529,"anguish","fear"
"530",530,"anguish","negative"
"531",531,"anguish","sadness"
"532",532,"animate","positive"
"533",533,"animated","joy"
"534",534,"animated","positive"
"535",535,"animosity","anger"
"536",536,"animosity","disgust"
"537",537,"animosity","fear"
"538",538,"animosity","negative"
"539",539,"animosity","sadness"
"540",540,"animus","anger"
"541",541,"animus","negative"
"542",542,"annihilate","anger"
"543",543,"annihilate","fear"
"544",544,"annihilate","negative"
"545",545,"annihilated","anger"
"546",546,"annihilated","fear"
"547",547,"annihilated","negative"
"548",548,"annihilated","sadness"
"549",549,"annihilation","anger"
"550",550,"annihilation","fear"
"551",551,"annihilation","negative"
"552",552,"annihilation","sadness"
"553",553,"announcement","anticipation"
"554",554,"annoy","anger"
"555",555,"annoy","disgust"
"556",556,"annoy","negative"
"557",557,"annoyance","anger"
"558",558,"annoyance","disgust"
"559",559,"annoyance","negative"
"560",560,"annoying","anger"
"561",561,"annoying","negative"
"562",562,"annul","negative"
"563",563,"annulment","negative"
"564",564,"annulment","sadness"
"565",565,"anomaly","fear"
"566",566,"anomaly","negative"
"567",567,"anomaly","surprise"
"568",568,"anonymous","negative"
"569",569,"answerable","trust"
"570",570,"antagonism","anger"
"571",571,"antagonism","negative"
"572",572,"antagonist","anger"
"573",573,"antagonist","negative"
"574",574,"antagonistic","anger"
"575",575,"antagonistic","disgust"
"576",576,"antagonistic","negative"
"577",577,"anthrax","disgust"
"578",578,"anthrax","fear"
"579",579,"anthrax","negative"
"580",580,"anthrax","sadness"
"581",581,"antibiotics","positive"
"582",582,"antichrist","anger"
"583",583,"antichrist","disgust"
"584",584,"antichrist","fear"
"585",585,"antichrist","negative"
"586",586,"anticipation","anticipation"
"587",587,"anticipatory","anticipation"
"588",588,"antidote","anticipation"
"589",589,"antidote","positive"
"590",590,"antidote","trust"
"591",591,"antifungal","positive"
"592",592,"antifungal","trust"
"593",593,"antipathy","anger"
"594",594,"antipathy","disgust"
"595",595,"antipathy","negative"
"596",596,"antiquated","negative"
"597",597,"antique","positive"
"598",598,"antiseptic","positive"
"599",599,"antiseptic","trust"
"600",600,"antisocial","anger"
"601",601,"antisocial","disgust"
"602",602,"antisocial","fear"
"603",603,"antisocial","negative"
"604",604,"antisocial","sadness"
"605",605,"antithesis","anger"
"606",606,"antithesis","negative"
"607",607,"anxiety","anger"
"608",608,"anxiety","anticipation"
"609",609,"anxiety","fear"
"610",610,"anxiety","negative"
"611",611,"anxiety","sadness"
"612",612,"anxious","anticipation"
"613",613,"anxious","fear"
"614",614,"anxious","negative"
"615",615,"apache","fear"
"616",616,"apache","negative"
"617",617,"apathetic","negative"
"618",618,"apathetic","sadness"
"619",619,"apathy","negative"
"620",620,"apathy","sadness"
"621",621,"aphid","disgust"
"622",622,"aphid","negative"
"623",623,"aplomb","positive"
"624",624,"apologetic","positive"
"625",625,"apologetic","trust"
"626",626,"apologize","positive"
"627",627,"apologize","sadness"
"628",628,"apologize","trust"
"629",629,"apology","positive"
"630",630,"apostle","positive"
"631",631,"apostle","trust"
"632",632,"apostolic","trust"
"633",633,"appalling","disgust"
"634",634,"appalling","fear"
"635",635,"appalling","negative"
"636",636,"apparition","fear"
"637",637,"apparition","surprise"
"638",638,"appeal","anticipation"
"639",639,"appendicitis","fear"
"640",640,"appendicitis","negative"
"641",641,"appendicitis","sadness"
"642",642,"applause","joy"
"643",643,"applause","positive"
"644",644,"applause","surprise"
"645",645,"applause","trust"
"646",646,"applicant","anticipation"
"647",647,"appreciation","joy"
"648",648,"appreciation","positive"
"649",649,"appreciation","trust"
"650",650,"apprehend","fear"
"651",651,"apprehension","fear"
"652",652,"apprehension","negative"
"653",653,"apprehensive","anticipation"
"654",654,"apprehensive","fear"
"655",655,"apprehensive","negative"
"656",656,"apprentice","trust"
"657",657,"approaching","anticipation"
"658",658,"approbation","positive"
"659",659,"approbation","trust"
"660",660,"appropriation","negative"
"661",661,"approval","positive"
"662",662,"approve","joy"
"663",663,"approve","positive"
"664",664,"approve","trust"
"665",665,"approving","positive"
"666",666,"apt","positive"
"667",667,"aptitude","positive"
"668",668,"arbiter","trust"
"669",669,"arbitration","anticipation"
"670",670,"arbitrator","trust"
"671",671,"archaeology","anticipation"
"672",672,"archaeology","positive"
"673",673,"archaic","negative"
"674",674,"architecture","trust"
"675",675,"ardent","anticipation"
"676",676,"ardent","joy"
"677",677,"ardent","positive"
"678",678,"ardor","positive"
"679",679,"arduous","negative"
"680",680,"argue","anger"
"681",681,"argue","negative"
"682",682,"argument","anger"
"683",683,"argument","negative"
"684",684,"argumentation","anger"
"685",685,"argumentative","negative"
"686",686,"arguments","anger"
"687",687,"arid","negative"
"688",688,"arid","sadness"
"689",689,"aristocracy","positive"
"690",690,"aristocratic","positive"
"691",691,"armament","anger"
"692",692,"armament","fear"
"693",693,"armaments","fear"
"694",694,"armaments","negative"
"695",695,"armed","anger"
"696",696,"armed","fear"
"697",697,"armed","negative"
"698",698,"armed","positive"
"699",699,"armor","fear"
"700",700,"armor","positive"
"701",701,"armor","trust"
"702",702,"armored","fear"
"703",703,"armory","trust"
"704",704,"aroma","positive"
"705",705,"arouse","anticipation"
"706",706,"arouse","positive"
"707",707,"arraignment","anger"
"708",708,"arraignment","fear"
"709",709,"arraignment","negative"
"710",710,"arraignment","sadness"
"711",711,"array","positive"
"712",712,"arrears","negative"
"713",713,"arrest","negative"
"714",714,"arrival","anticipation"
"715",715,"arrive","anticipation"
"716",716,"arrogance","negative"
"717",717,"arrogant","anger"
"718",718,"arrogant","disgust"
"719",719,"arrogant","negative"
"720",720,"arsenic","disgust"
"721",721,"arsenic","fear"
"722",722,"arsenic","negative"
"723",723,"arsenic","sadness"
"724",724,"arson","anger"
"725",725,"arson","fear"
"726",726,"arson","negative"
"727",727,"art","anticipation"
"728",728,"art","joy"
"729",729,"art","positive"
"730",730,"art","sadness"
"731",731,"art","surprise"
"732",732,"articulate","positive"
"733",733,"articulation","positive"
"734",734,"artillery","fear"
"735",735,"artillery","negative"
"736",736,"artisan","positive"
"737",737,"artiste","positive"
"738",738,"artistic","positive"
"739",739,"ascendancy","positive"
"740",740,"ascent","positive"
"741",741,"ash","negative"
"742",742,"ashamed","disgust"
"743",743,"ashamed","negative"
"744",744,"ashamed","sadness"
"745",745,"ashes","negative"
"746",746,"ashes","sadness"
"747",747,"asp","fear"
"748",748,"aspiration","anticipation"
"749",749,"aspiration","joy"
"750",750,"aspiration","positive"
"751",751,"aspiration","surprise"
"752",752,"aspiration","trust"
"753",753,"aspire","anticipation"
"754",754,"aspire","joy"
"755",755,"aspire","positive"
"756",756,"aspiring","anticipation"
"757",757,"aspiring","joy"
"758",758,"aspiring","positive"
"759",759,"aspiring","trust"
"760",760,"ass","negative"
"761",761,"assail","anger"
"762",762,"assail","fear"
"763",763,"assail","negative"
"764",764,"assail","surprise"
"765",765,"assailant","anger"
"766",766,"assailant","fear"
"767",767,"assailant","negative"
"768",768,"assailant","sadness"
"769",769,"assassin","anger"
"770",770,"assassin","fear"
"771",771,"assassin","negative"
"772",772,"assassin","sadness"
"773",773,"assassinate","anger"
"774",774,"assassinate","fear"
"775",775,"assassinate","negative"
"776",776,"assassination","anger"
"777",777,"assassination","fear"
"778",778,"assassination","negative"
"779",779,"assassination","sadness"
"780",780,"assault","anger"
"781",781,"assault","fear"
"782",782,"assault","negative"
"783",783,"assembly","positive"
"784",784,"assembly","trust"
"785",785,"assent","positive"
"786",786,"asserting","positive"
"787",787,"asserting","trust"
"788",788,"assessment","surprise"
"789",789,"assessment","trust"
"790",790,"assessor","trust"
"791",791,"assets","positive"
"792",792,"asshole","anger"
"793",793,"asshole","disgust"
"794",794,"asshole","negative"
"795",795,"assignee","trust"
"796",796,"assist","positive"
"797",797,"assist","trust"
"798",798,"assistance","positive"
"799",799,"associate","positive"
"800",800,"associate","trust"
"801",801,"association","trust"
"802",802,"assuage","positive"
"803",803,"assurance","positive"
"804",804,"assurance","trust"
"805",805,"assure","trust"
"806",806,"assured","positive"
"807",807,"assured","trust"
"808",808,"assuredly","trust"
"809",809,"astonishingly","positive"
"810",810,"astonishingly","surprise"
"811",811,"astonishment","joy"
"812",812,"astonishment","positive"
"813",813,"astonishment","surprise"
"814",814,"astray","fear"
"815",815,"astray","negative"
"816",816,"astringent","negative"
"817",817,"astrologer","anticipation"
"818",818,"astrologer","positive"
"819",819,"astronaut","positive"
"820",820,"astronomer","anticipation"
"821",821,"astronomer","positive"
"822",822,"astute","positive"
"823",823,"asylum","fear"
"824",824,"asylum","negative"
"825",825,"asymmetry","disgust"
"826",826,"atheism","negative"
"827",827,"atherosclerosis","fear"
"828",828,"atherosclerosis","negative"
"829",829,"atherosclerosis","sadness"
"830",830,"athlete","positive"
"831",831,"athletic","positive"
"832",832,"atom","positive"
"833",833,"atone","anticipation"
"834",834,"atone","joy"
"835",835,"atone","positive"
"836",836,"atone","trust"
"837",837,"atonement","positive"
"838",838,"atrocious","anger"
"839",839,"atrocious","disgust"
"840",840,"atrocious","negative"
"841",841,"atrocity","anger"
"842",842,"atrocity","disgust"
"843",843,"atrocity","fear"
"844",844,"atrocity","negative"
"845",845,"atrocity","sadness"
"846",846,"atrophy","disgust"
"847",847,"atrophy","fear"
"848",848,"atrophy","negative"
"849",849,"atrophy","sadness"
"850",850,"attachment","positive"
"851",851,"attack","anger"
"852",852,"attack","fear"
"853",853,"attack","negative"
"854",854,"attacking","anger"
"855",855,"attacking","disgust"
"856",856,"attacking","fear"
"857",857,"attacking","negative"
"858",858,"attacking","sadness"
"859",859,"attacking","surprise"
"860",860,"attainable","anticipation"
"861",861,"attainable","positive"
"862",862,"attainment","positive"
"863",863,"attempt","anticipation"
"864",864,"attendance","anticipation"
"865",865,"attendant","positive"
"866",866,"attendant","trust"
"867",867,"attention","positive"
"868",868,"attentive","positive"
"869",869,"attentive","trust"
"870",870,"attenuated","negative"
"871",871,"attenuation","negative"
"872",872,"attenuation","sadness"
"873",873,"attest","positive"
"874",874,"attest","trust"
"875",875,"attestation","trust"
"876",876,"attorney","anger"
"877",877,"attorney","fear"
"878",878,"attorney","positive"
"879",879,"attorney","trust"
"880",880,"attraction","positive"
"881",881,"attractiveness","positive"
"882",882,"auction","anticipation"
"883",883,"audacity","negative"
"884",884,"audience","anticipation"
"885",885,"auditor","fear"
"886",886,"auditor","trust"
"887",887,"augment","positive"
"888",888,"august","positive"
"889",889,"aunt","positive"
"890",890,"aunt","trust"
"891",891,"aura","positive"
"892",892,"auspicious","anticipation"
"893",893,"auspicious","joy"
"894",894,"auspicious","positive"
"895",895,"austere","fear"
"896",896,"austere","negative"
"897",897,"austere","sadness"
"898",898,"austerity","negative"
"899",899,"authentic","joy"
"900",900,"authentic","positive"
"901",901,"authentic","trust"
"902",902,"authenticate","trust"
"903",903,"authentication","trust"
"904",904,"authenticity","positive"
"905",905,"authenticity","trust"
"906",906,"author","positive"
"907",907,"author","trust"
"908",908,"authoritative","positive"
"909",909,"authoritative","trust"
"910",910,"authority","positive"
"911",911,"authority","trust"
"912",912,"authorization","positive"
"913",913,"authorization","trust"
"914",914,"authorize","trust"
"915",915,"authorized","positive"
"916",916,"autocratic","negative"
"917",917,"automatic","trust"
"918",918,"autopsy","disgust"
"919",919,"autopsy","fear"
"920",920,"autopsy","negative"
"921",921,"autopsy","sadness"
"922",922,"avalanche","fear"
"923",923,"avalanche","negative"
"924",924,"avalanche","sadness"
"925",925,"avalanche","surprise"
"926",926,"avarice","anger"
"927",927,"avarice","disgust"
"928",928,"avarice","negative"
"929",929,"avatar","positive"
"930",930,"avenger","anger"
"931",931,"avenger","negative"
"932",932,"averse","anger"
"933",933,"averse","disgust"
"934",934,"averse","fear"
"935",935,"averse","negative"
"936",936,"aversion","anger"
"937",937,"aversion","disgust"
"938",938,"aversion","fear"
"939",939,"aversion","negative"
"940",940,"avoid","fear"
"941",941,"avoid","negative"
"942",942,"avoidance","fear"
"943",943,"avoidance","negative"
"944",944,"avoiding","fear"
"945",945,"await","anticipation"
"946",946,"award","anticipation"
"947",947,"award","joy"
"948",948,"award","positive"
"949",949,"award","surprise"
"950",950,"award","trust"
"951",951,"awful","anger"
"952",952,"awful","disgust"
"953",953,"awful","fear"
"954",954,"awful","negative"
"955",955,"awful","sadness"
"956",956,"awkwardness","disgust"
"957",957,"awkwardness","negative"
"958",958,"awry","negative"
"959",959,"axiom","trust"
"960",960,"axiomatic","trust"
"961",961,"ay","positive"
"962",962,"aye","positive"
"963",963,"babble","negative"
"964",964,"babbling","negative"
"965",965,"baboon","disgust"
"966",966,"baboon","negative"
"967",967,"baby","joy"
"968",968,"baby","positive"
"969",969,"babysitter","trust"
"970",970,"baccalaureate","positive"
"971",971,"backbone","anger"
